mph,entry
# Wake Forest Code of Ordinances, Ch. 30 Art. VI Sec. 30-216 -- Schedule XVII, speed limits.
# Transcribed 2026-09-07 from library.municode.com (nodeId PTIICOOR_CH30TRVE_ARTVITRSC_S30-216SCXVSPLI).
# Governing rule (not a row below): "The speed limit on all streets, other than on state
# highways and in school districts during times specified, shall be 25 miles per hour unless
# otherwise posted."  Every row here is an EXCEPTION to that 25 mph default.
# Municode warns its copy may lag recent amendments; confirm with the Town Clerk before relying
# on this for anything published.
15,South College Street
15,West Owen Avenue
20,South Allen Road to its junction with Middle Bridge Road
20,Amherst Creek Drive
20,Belmellen Court
20,Berwick Court
20,Brewer Avenue
20,Brewer Jackson Court
20,Brick Street
20,Brinkley Chapel Court
20,Broyhill Court
20,Cedar Branch Court
20,East Chestnut Avenue
20,Chilmark Avenue
20,Cimarron Parkway
20,Colonial Club Road
20,Deacon Ridge Street
20,Drogheda Place
20,Dunn Maple Drive
20,East Dunpatrick Court
20,West Dunpatrick Court
20,East Durness Court
20,West Durness Court
20,Elizabeth Avenue
20,Eppes Lane
20,Galashiels Place
20,Glencoe Drive
20,Groves Field Lane
20,Hartsfield Forest Drive
20,Haywicke Place
20,Heritage Arbor
20,Heritage Links Drive
20,Hidden Jewel Lane
20,"East Holding Avenue, from its junction with South Franklin Street to turnaround"
20,Judson Drive
20,Kilmarnock Court
20,Kintail Court
20,Ledgerock Road
20,Marshall Farm Street
20,Middle Bridge Road
20,Mill Street
20,Montville Court
20,East Oak Avenue
20,O'Brien Circle
20,Old College Drive
20,West Pine Avenue
20,Rice Circle
20,Rockville Road
20,Rowsey Court
20,Samuel Wait Lane
20,Selsey Drive
20,Shannonford Court
20,Shiretown Lane
20,Sky Hill Place
20,St. Catherine's Drive
20,Stroud Drive
20,Templeridge Road
20,Thompson Glen Place
20,Tilgate Court
20,Torry Hill Court
20,Trentini Drive
20,Tyler Run Drive
20,Wahlbrink Drive
20,"Watch Hill, from its junction with Deacon Ridge Street to turnaround"
20,Willow Wisp Court
25,"North Allen Road, between Wait Avenue and Juniper Street"
25,"NC 98 Business (Roosevelt/Wait Avenue), from US 1A (Front Street), eastward to Franklin Street, a point 0.25 miles west of SR 1953/2064 (Allen Road)"
25,"West Oak, between Wingate and Main Street"
25,North Wingate Street
35,"South Allen Road (SR 1953), from Wait Avenue (NC-98) to 0.25 miles south"
35,"Caveness Farms Road, between Capital Boulevard and Ligon Mill Road"
35,"Durham Road (NC-98), from South Wingate Street (SR 1933) to 0.4 miles west"
35,"Durham Road (NC-98), from 0.4 miles west of South Wingate Street (SR 1933) to the western corporate limits (a point 0.17 miles west of Capital Boulevard (US-1))"
35,"South Franklin Street, from Wait Avenue to East Holding Avenue"
35,"South Franklin Street, between Dr. Calvin Jones Highway to Holding Avenue"
35,East Holding Avenue
35,"Juniper Avenue, from North Allen Road to Traditions Grande Boulevard"
35,"East Juniper Avenue (SR 9142), from North White Street (SR 1941) to the eastern corporate limits"
35,"Ligon Mill Road (SR 2044), from the intersection of SR 4428 (Song Sparrow Drive) traveling northeast to the intersection of US 1 (South Main Street), a length of approximately 1.68 miles"
35,"North Main Street (US-1A), from North Avenue (US-1A, SR 1933) to the northern corporate limits"
35,"South Main Street (US-1A), from South Avenue (US-1A, NC-98), south to Windsor Drive"
35,"NC 98 Business (Wait Avenue), from Franklin Street, a point 0.25 miles west of SR 1953/2064 (Allen Road), eastward to a point 0.38 miles east of SR 1953/2064 (Allen Road)"
35,"West Oak Avenue (SR 1932), from North Main Street (US-1A) to the western corporate limits"
35,"Stadium Drive (SR 1930), from North Wingate Street (SR 1933) to the western corporate limits"
35,"US 1A/South Main, from Capital Boulevard, north to East and West Vernon Avenues"
35,"South White Street, from Elm Avenue to East Holding Avenue"
40,"NC 98 Business (Durham Road), east from SR 2000 (Old Falls of Neuse Road) to the town municipal limits, a point approximately 0.35 miles northeast of SR 2000 (Old Falls of Neuse Road)"
45,"South Main Street (US-1A), from Windsor Drive, south to the southern corporate limits"
45,"NC-98 East, from 0.04 miles west of Jones Dairy Road (SR 2053), eastward to 0.16 miles east of Jones Dairy Road (SR 2053)"
45,"Rogers Road (SR 2052), from South Main Street (US-1A), to a point 0.41 miles east of Forestville Road (SR 2049)"
45,"US-1A (South Main Street), from a point 0.20 miles north of US-1, northward to a point 0.25 miles south of Forestville Road (SR 2049)"
45,"East Wait Avenue, from Austin View to Jones Dairy Road"
50,"Averette Road (SR 1945) within the municipal limits, a portion beginning approximately 0.11 miles north of Mill Dam Road (SR 4547), south to approximately 0.01 miles north of Mill Dam Road, and another portion beginning approximately 0.15 miles south of Mill Dam Road, south to approximately 0.26 miles north of Jack Jones Road (SR 1946)"
55,"US 1 (Capital Boulevard), from a point 0.803 miles south of SR 2045 (Burlington Mills Road), to the Franklin County Line, located 0.497 miles north of SR 1931 (Harris Road)"
