post_id,lat,lon,sign_type,streets
0,35.958099,-78.487661,begin/end,Chalk Road
1,35.958137,-78.487482,major-crossing,Chalk Road
2,35.96013,-78.485138,begin/end,Jones Dairy Road
3,35.959983,-78.484975,begin/end,Jones Dairy Road
4,35.960853,-78.485484,begin/end,Jones Dairy Road
5,35.960729,-78.485675,begin/end,Jones Dairy Road
6,35.957876,-78.482198,begin/end,Jones Dairy Road
7,35.990088,-78.52584,begin/end,Stadium Drive
8,35.982648,-78.512891,begin/end,Stadium Drive
9,35.9827,-78.51341,major-crossing,Stadium Drive
10,35.982502,-78.513418,major-crossing,Stadium Drive
11,35.975726,-78.511239,begin/end,East Elm Avenue
12,35.975549,-78.511348,begin/end,East Elm Avenue
13,35.975357,-78.510671,begin/end,East Elm Avenue
14,35.975548,-78.510607,begin/end,East Elm Avenue
15,35.991985,-78.510072,begin/end,West Oak Avenue
16,35.992668,-78.51082,begin/end,West Oak Avenue
17,35.948663,-78.53037,begin/end,South Main Street
18,35.951681,-78.522811,begin/end,South Main Street
19,35.956089,-78.525016,begin/end,South Main Street
20,35.947232,-78.536221,begin/end,South Main Street
21,35.947069,-78.536082,begin/end,South Main Street
22,35.949736,-78.531111,major-crossing,South Main Street
23,35.948366,-78.53425,major-crossing,South Main Street
24,35.948199,-78.534118,major-crossing,South Main Street
25,35.961243,-78.518545,begin/end,South Main Street
26,35.97879,-78.511842,begin/end,South Main Street
27,35.960625,-78.523807,begin/end,South Main Street
28,35.976285,-78.512923,major-crossing,South Main Street
29,35.976213,-78.512695,major-crossing,South Main Street
30,35.966211,-78.517521,major-crossing,South Main Street
31,35.966261,-78.517757,major-crossing,South Main Street
32,35.966408,-78.517705,major-crossing,South Main Street
33,35.966356,-78.517469,major-crossing,South Main Street
34,35.972688,-78.515206,major-crossing,South Main Street
35,35.97277,-78.515428,major-crossing,South Main Street
36,35.978515,-78.512032,major-crossing,South Main Street
37,35.978555,-78.512271,major-crossing,South Main Street
38,35.931814,-78.52879,begin/end,Ligon Mill Road
39,35.930727,-78.528516,begin/end,Ligon Mill Road
40,35.943874,-78.530948,begin/end,Ligon Mill Road
41,35.936381,-78.532816,begin/end,Ligon Mill Road
42,35.971626,-78.493579,begin/end,Wait Avenue
43,35.977575,-78.505387,begin/end,Wait Avenue
44,35.977396,-78.505491,begin/end,Wait Avenue
45,35.975888,-78.501366,major-crossing,Wait Avenue
46,35.994742,-78.490233,begin/end,North White Street
47,35.993763,-78.49119,begin/end,North White Street
48,35.951439,-78.500763,begin/end,Heritage Lake Road
49,35.95142,-78.50052,begin/end,Heritage Lake Road
50,35.961697,-78.498612,begin/end,Heritage Lake Road
51,35.961813,-78.498809,begin/end,Heritage Lake Road
52,35.935012,-78.528441,begin/end,Carriage Meadows Drive
53,35.935098,-78.524628,begin/end,Carriage Meadows Drive
54,35.981653,-78.493944,begin/end,North White Street
55,35.981832,-78.493839,begin/end,North White Street
56,35.992973,-78.492274,begin/end,North White Street
57,35.979333,-78.509424,begin/end,North White Street
58,35.979276,-78.50919,begin/end,North White Street
59,35.988576,-78.499066,major-crossing,North White Street
60,35.99112,-78.495279,major-crossing,North White Street
61,35.982491,-78.50066,major-crossing,North White Street
