stretch_id,street,length_mi,sidewalk_sides,n_sign_nodes
0,Chalk Road,0.012,1,3
1,Jones Dairy Road,0.107,1,2
2,Stadium Drive,0.058,2,2
3,East Elm Avenue,0.039,2,2
4,West Oak Avenue,0.065,1,2
5,South Main Street,0.203,2,3
6,South Main Street,0.788,1,4
7,South Main Street,0.06,2,2
8,South Main Street,0.061,2,2
9,South Main Street,0.018,2,2
10,South Main Street,0.017,2,2
11,Ligon Mill Road,0.077,1,2
12,Ligon Mill Road,0.101,2,2
13,Wait Avenue,0.477,1,2
14,North White Street,0.085,1,2
15,Cimarron Parkway,0.154,1,2
16,Cimarron Parkway,0.052,1,2
17,Heritage Lake Road,0.128,2,2
18,Stadium Drive,0.333,1,2
19,Carriage Meadows Drive,0.241,1,2
20,East Juniper Avenue,0.016,1,2
21,North Main Street,0.039,2,2
22,Retail Drive,0.774,2,2
23,Rogers Road,0.199,2,3
24,One World Way,0.097,1,2
25,Rogers Road,0.076,2,2
26,Rogers Road,0.086,2,3
27,Heritage Lake Road,0.193,1,2
28,Wait Avenue,0.008,2,2
29,Forestville Road,0.15,2,2
30,Wake Union Church Road,0.051,1,2
31,Gateway Commons Circle,0.063,2,2
32,Wait Avenue,0.01,1,2
33,Chalk Road,0.009,2,2
34,Caveness Farms Avenue,0.031,1,3
35,Rogers Branch Road,0.015,1,2
36,Averette Road,0.043,1,2
